CNPJ,ESPECIALIDADE,ESTABELECIMENTO
698152000100,Brasileira | Cozinha regional,Restaurante
701583000188,Brasileira,Restaurante
701894000147,Brasileira,Restaurante
702973000172,Brasileira | Cozinha regional,Restaurante
703651000148,Brasileira,Restaurante
703791000116,Brasileira | Japonesa,Restaurante
704649000193,Brasileira,Similar
706632000175,Chinesa,Restaurante
706969000182,Brasileira,Restaurante
707835000186,Brasileira,Similar
707842000188,Brasileira | Cozinha regional | Portuguesa,Restaurante
708796000131,Brasileira,Cafeteria
714713000117,Cozinha regional,Restaurante
716835000142,Americana,Restaurante
716835000495,Americana,Restaurante
716835000576,Americana,Restaurante
716835000657,Americana,Restaurante
716835000738,Americana,Restaurante
716969000163,Cozinha regional | Árabe,Restaurante
717957000153,Brasileira | Portuguesa,Cafeteria
723033000160,Cozinha regional | Italiana,Restaurante
723033000160,Italiana,Restaurante
723316000101,Brasileira | Cozinha regional | Portuguesa,Similar
726058000117,Brasileira | Cozinha regional | Italiana,Restaurante
729956000129,Brasileira,Bar
730715000108,Brasileira | Italiana,Restaurante
735389000113,Brasileira,Restaurante
739222000120,Brasileira,Similar
740356000161,Brasileira,Restaurante
741382000104,Brasileira | Cozinha regional,Restaurante
742049000110,Brasileira,Restaurante
743886000163,Brasileira,Restaurante
743990000158,Brasileira,Restaurante
743990000409,Brasileira,Restaurante
750468000101,Cozinha regional,Restaurante
750572000198,Brasileira,Restaurante
750572000279,Brasileira,Restaurante
750572000350,Brasileira,Restaurante
751262000198,Brasileira,Restaurante
752344000157,Japonesa,Restaurante
752517000137,Brasileira | Cozinha regional,Restaurante
752534000174,Brasileira | Cozinha regional | Italiana,Restaurante
754504000105,Brasileira | Indiana,Restaurante
754980000118,Cozinha regional,Similar
755072000149,Brasileira,Restaurante
755225000158,Brasileira,Restaurante
759622000106,Cozinha regional,Similar
762256000136,Brasileira,Similar
763891000138,Brasileira | Cozinha regional | Italiana,Restaurante
768111000142,Italiana,Restaurante
772374000125,Brasileira,Restaurante
772440000167,Brasileira,Restaurante
772527000134,Italiana,Restaurante
772527000215,Italiana,Restaurante
772527000487,Italiana,Restaurante
772527000568,Italiana,Restaurante
772527000800,Italiana,Restaurante
772527000991,Italiana,Restaurante
772527001025,Italiana,Restaurante
772527001106,Italiana,Restaurante
778727000102,Alemã | Brasileira | Mexicana,Restaurante
778869000161,Brasileira,Similar
779243000170,Brasileira,Restaurante
782468000185,Brasileira,Restaurante
783424000170,Brasileira | Italiana,Restaurante
783440000162,Alemã,Restaurante
787467000123,Brasileira,Bar
788436000197,Brasileira,Similar
790482000120,Italiana | Árabe,Restaurante
791246000129,Brasileira,Restaurante
792920000190,Brasileira,Restaurante
798398000153,Brasileira,Similar
799260000179,Brasileira | Cozinha regional,Restaurante
799678000186,Brasileira | Cozinha regional,Bar
802086000176,Brasileira | Cozinha regional,Restaurante
806701000112,Brasileira,Bar
811249000187,Brasileira | Cozinha regional | Italiana,Restaurante
813997000107,Brasileira,Similar
815486000116,Italiana | Árabe,Restaurante
821105000101,Brasileira,Restaurante
823327000163,Cozinha regional,Similar
823454000162,Cozinha regional,Restaurante
826357000123,Cozinha regional,Restaurante
827430000181,Brasileira | Cozinha regional,Restaurante
827537000120,Brasileira,Bar
828816000108,Brasileira | Cozinha regional | Italiana,Restaurante
830164000146,Cozinha regional,Restaurante
831448000157,Brasileira,Restaurante
832812000101,Brasileira,Restaurante
835900000159,Cozinha regional,Restaurante
839538000194,Brasileira | Cozinha regional,Restaurante
840073000191,Japonesa,Restaurante
845331000122,Brasileira | Italiana,Restaurante
846742000132,Cozinha regional | Portuguesa,Restaurante
