CNPJ,ESPECIALIDADE
2529496000110,Brasileira
2531527000178,Brasileira
2532703000196,Brasileira
2534263000106,Argentina | Brasileira | Cozinha regional
2535628000117,Cozinha regional
2543381000180,Brasileira | Cozinha regional
2554952000182,Brasileira
2556344000107,Cozinha regional
2559562000286,Brasileira
2559645000194,Brasileira
2563988000122,Brasileira
2565157000190,Brasileira
2567094000100,Brasileira
2570948000108,Brasileira | Cozinha regional
2571765000107,Brasileira
2577631000101,Brasileira
2583307000198,Americana
2583307000430,Americana
2583307000511,Americana
2583307000783,Americana
2583307000864,Americana
2583307000945,Americana
2583307001089,Americana
2583307001160,Americana
2584281000100,Tailandesa
2587528000134,Italiana
2589899000155,Alemã | Cozinha regional
2592512000110,Brasileira
2599582000108,Brasileira | Cozinha regional | Japonesa
2615790000145,Brasileira | Italiana
2617053000181,Brasileira | Cozinha regional
2627200000102,Brasileira
2627530000190,Asiática | Chinesa
2629132000102,Brasileira
2633083000181,Brasileira | Cozinha regional
2634678000151,Brasileira | Italiana
2636862000130,Brasileira
2637777000197,Americana
2637777000782,Americana
2637777000863,Americana
2637777000944,Americana
2637777001088,Americana
2637777001169,Americana
2637777001240,Americana
2643287000101,Italiana
2645436000163,Brasileira
2645538000189,Brasileira | Italiana
2648788000172,Brasileira
2653124000100,Brasileira | Espanhola | Italiana
2653205000100,Brasileira | Cozinha regional
2653567000192,Italiana | Árabe
2661074000102,Brasileira
2663391000150,Brasileira
2670769000142,Brasileira
2679357000173,Brasileira
2681903000100,Brasileira
2683600000127,Alemã | Cozinha regional | Italiana
2683893000142,Brasileira
2686933000100,Americana
2686933000452,Americana
2700119000100,Americana | Brasileira
2701199000100,Brasileira
2702340000190,Brasileira | Cozinha regional
2703510000150,Brasileira | Cozinha regional
2704954000100,Brasileira
2705189000143,Japonesa
2707140000120,Brasileira
2707140000200,Brasileira
2708381000193,Brasileira
2709730000191,Brasileira | Cozinha regional
2717608000167,Argentina | Brasileira
2722678000294,Americana
2726094000106,Brasileira
2726324000137,Americana
2726324000307,Americana
2726324000480,Americana
2726324000560,Americana
2726324000641,Americana
2728754000198,Brasileira | Cozinha regional | Italiana
2730645000105,Árabe
2730658000184,Brasileira | Cozinha regional | Italiana
2731476000128,Brasileira
2738683000104,Brasileira
2742263000100,Brasileira
2743172000180,Brasileira
2743676000109,Brasileira
2744606000167,Brasileira | Portuguesa
2749926000100,Americana | Brasileira
2749926000290,Americana | Brasileira
2749926000371,Americana | Brasileira
2749926000452,Americana | Brasileira
2749926000614,Americana | Brasileira
2749926000703,Americana | Brasileira
2749926000886,Americana | Brasileira
2749926000967,Americana | Brasileira
